Framework,1,5,10,15,20,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
servicestack,— Did not complete —,,,,,,Plt,C#,Mon,XSP,Lin,My,Lin,Raw,Rea
servlet-postgres-raw,90134,21183,12151,8522,6530,Plt,Jav,Svt,Res,Lin,Pg,Lin,Raw,Rea,0
servlet-raw,170702,37052,22113,14159,10127,Plt,Jav,Svt,Res,Lin,My,Lin,Raw,Rea,0
silex,— Did not complete —,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea
silex,— Did not complete —,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea
silex-orm,1285,1089,1020,970,901,Mcr,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,13357
silica,— Did not complete —,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea
sinatra-ruby,962,282,153,104,79,Mcr,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,0
sinatra-jruby,2458,1497,1063,837,714,Mcr,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
slim,— Did not complete —,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea
snap,20061,4451,7247,1337,1370,Mcr,Hkl,Snp,Non,Lin,My,Lin,Ful,Rea,0
spark,22133,8350,2658,760,404,Mcr,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
spring,18218,5200,2725,1862,1416,Ful,Jav,Svt,Tom,Lin,My,Lin,Ful,Rea,0
start,39473,21397,11819,8056,6104,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
start,39797,26840,19899,15686,12859,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,0
stream,38362,20991,12101,8032,6104,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
stream,39183,26391,19600,15392,12659,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,0
symfony2,494,485,473,467,459,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,6852
symfony2-raw,690,686,681,675,673,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,10057
symfony2,496,486,475,468,459,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Str,6856
symfony2,637,630,625,622,619,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Str,9245
tapestry,62276,33936,20086,14172,10948,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
tornado-py3,27355,9323,4741,2708,1878,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado,32997,10695,5110,2967,2018,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado-pypy,48933,11936,6375,4352,3244,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
treefrog,67031,22895,11506,7694,5784,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
treefrog-thread,104311,22980,11649,7736,5702,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
undertow,126000,44652,22291,14764,11066,Plt,Jav,Utw,Non,Lin,My,Lin,Raw,Rea,0
undertow,93828,21771,12523,8795,6882,Plt,Jav,Utw,Non,Lin,Pg,Lin,Raw,Rea,0
undertow,132636,30128,15493,10402,7830,Plt,Jav,Utw,Non,Lin,Mo,Lin,Raw,Rea,0
undertow edge,128902,30131,15472,10425,7877,Plt,Jav,Und,Non,Lin,Mo,Lin,Raw,Rea,0
undertow edge,125012,44401,22225,14824,11101,Plt,Jav,Und,Non,Lin,My,Lin,Raw,Rea,0
undertow edge,93970,21224,12540,8647,6699,Plt,Jav,Und,Non,Lin,Pg,Lin,Raw,Rea,0
unfiltered,108221,24045,12187,8199,6161,Mcr,Sca,Nty,Non,Lin,My,Lin,Mcr,Rea,0
urweb-postgres,89933,36321,19453,13175,9953,Ful,Ur,Ur/,Non,Lin,Pg,Lin,Mcr,Rea,0
urweb-mysql,69875,18030,9294,6171,4546,Ful,Ur,Ur/,Non,Lin,My,Lin,Mcr,Rea,0
vertx,— Removed at request of framework maintainer - outdated version —,,,,,,Plt,Jav,vtx,Non,Lin,Mo,Lin,Raw,Rea
web-simple-raw,— Did not complete —,,,,,,Mcr,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea
wicket,92845,35702,20294,13696,10390,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
yaf-raw,70690,19938,13091,11652,8512,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
yesod,37073,13257,7567,5199,4036,Mcr,Hkl,Wai,Wrp,Lin,My,Lin,Raw,Rea,0
yesod,5985,1186,594,387,290,Mcr,Hkl,Wai,Wrp,Lin,Mo,Lin,Raw,Rea,0
