Framework,8,16,32,64,128,256,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
silex-orm,934,1382,1571,1528,1348,1185,1571,Mcr,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,16362
silex,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
silica,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
sinatra-jruby,5194,5359,4569,4354,3192,2472,5359,Mcr,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
sinatra-ruby,781,1003,993,996,985,994,1003,Mcr,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,0
slim,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
snap,12452,6631,8980,7424,8605,7850,12452,Mcr,Hkl,Snp,Non,Lin,My,Lin,Ful,Rea,0
spark,14962,28121,48986,55938,25837,22444,55938,Mcr,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
spring,11595,18730,18912,18913,18880,18950,18950,Ful,Jav,Svt,Tom,Lin,My,Lin,Ful,Rea,0
start,11011,20168,31183,33898,38230,40165,40165,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
start,11804,21885,32164,34660,38714,41110,41110,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,0
stream,11927,22129,32283,34465,38326,40381,40381,Mcr,Dar,Dar,ngx,Lin,Mo,Lin,Raw,Rea,0
stream,10725,19690,30637,33004,37283,39521,39521,Mcr,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
symfony2-raw,— Did not complete —,,,,,,,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
symfony2,560,618,563,547,508,489,618,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,8861
symfony2,569,622,572,558,514,493,622,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Str,8943
symfony2,761,952,902,865,719,655,952,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Str,12805
tapestry,13356,25890,45852,53920,79278,62303,79278,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
tornado-py3,7930,14133,23620,25359,28337,29280,29280,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado-pypy,19062,36335,48642,56614,58178,57406,58178,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
tornado,9075,17037,27252,28645,34724,35277,35277,Plt,Py,Tor,Non,Lin,Mo,Lin,Raw,Rea,0
treefrog,3264,11773,33793,36902,61442,67584,67584,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
treefrog-thread,16577,31134,55067,62070,95404,104861,104861,Ful,C++,Tre,Non,Lin,My,Lin,Mcr,Rea,0
undertow,35535,66805,92521,100650,126975,126682,126975,Plt,Jav,Utw,Non,Lin,My,Lin,Raw,Rea,0
undertow,44327,83970,97662,116207,132628,133426,133426,Plt,Jav,Utw,Non,Lin,Mo,Lin,Raw,Rea,0
undertow,28832,50301,75450,81007,95592,91597,95592,Plt,Jav,Utw,Non,Lin,Pg,Lin,Raw,Rea,0
undertow edge,27812,52554,77967,77836,93806,91336,93806,Plt,Jav,Und,Non,Lin,Pg,Lin,Raw,Rea,0
undertow edge,44233,84225,96378,113254,129617,130528,130528,Plt,Jav,Und,Non,Lin,Mo,Lin,Raw,Rea,0
undertow edge,35951,66333,91313,99819,126937,125897,126937,Plt,Jav,Und,Non,Lin,My,Lin,Raw,Rea,0
unfiltered,17532,34875,63588,74380,110262,110554,110554,Mcr,Sca,Nty,Non,Lin,My,Lin,Mcr,Rea,0
urweb-postgres,16290,29379,51802,60266,90131,89875,90131,Ful,Ur,Ur/,Non,Lin,Pg,Lin,Mcr,Rea,0
urweb-mysql,13522,23978,41074,48086,69866,69877,69877,Ful,Ur,Ur/,Non,Lin,My,Lin,Mcr,Rea,0
vertx,— Removed at request of framework maintainer - outdated version —,,,,,,,Plt,Jav,vtx,Non,Lin,Mo,Lin,Raw,Rea,—
web-simple-raw,— Did not complete —,,,,,,,Mcr,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea,—
wicket,20468,41428,75815,87355,117724,103762,117724,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
yaf-raw,13476,26926,46380,51583,70434,69514,70434,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
yesod,200,400,800,999,2994,5983,5983,Mcr,Hkl,Wai,Wrp,Lin,Mo,Lin,Raw,Rea,0
yesod,14827,25465,32318,33551,37074,37445,37445,Mcr,Hkl,Wai,Wrp,Lin,My,Lin,Raw,Rea,0
